date,Unemployment,no.articles_Unemployment,Mental_health,no.articles_Mental_health,Wellbeing
2015-03-31,-1.6443351434350142,3471,-2.058962122431912,2057,
2015-04-30,-1.926651584605826,2940,-1.990677546965704,3004,
2015-05-31,-1.6657085976135608,4230,-2.246244665119928,2333,
2015-06-30,-1.4159746891259657,3237,-1.9981282030425496,1999,
2015-07-31,-1.4025820659951276,2712,-2.027817973609271,11087,-2.152208020038443
2015-08-31,-1.2049960800314112,3329,-2.0843685109146417,14892,-2.079213465059782
2015-09-30,-1.6838962769872117,3111,-1.821391174638716,13572,-1.9579836023777424
2015-10-31,-1.4106130819088314,2194,-2.086501456472776,14604,-2.1693051275540443
2015-11-30,-1.831402647035104,2463,-2.210009567729107,19371,-2.1976976845431184
2015-12-31,-1.2250659654820149,1963,-1.836465462820562,12005,-1.7859130412928992
2016-01-31,-1.2659234745859165,1707,-2.1794988226794976,12364,-2.279104077237689
2016-02-29,-1.2128983182290427,2062,-2.437888552923181,16411,-2.4083972130947267
2016-03-31,-2.24247769743994,1818,-2.115572141827964,13035,-2.1074076596067783
2016-04-30,-2.3113024494942875,1808,-2.065928105494236,11954,-2.086650295735604
2016-05-31,-1.5934489035446242,2833,-2.109657690539173,14217,-2.173077607986193
2016-06-30,-1.1725707528242129,1535,-1.7004561038292074,12573,-1.7393272025176287
2016-07-31,-2.0062247831409765,1564,-1.748786178174815,12163,-1.7297258033263676
2016-08-31,-1.370386448787342,1414,-2.239399668076944,11033,-2.25381656521608
2016-09-30,-1.1866535932730986,1726,-2.0649266561219166,13558,-2.1363757873517275
2016-10-31,-0.9303532148584728,3419,-1.8680792703588736,17559,-1.906815196144852
2016-11-30,-1.8877874004586872,2281,-2.168218482279762,15955,-2.182505970273266
2016-12-31,-1.600709965326675,2137,-2.328639164330182,16263,-2.4644704823276733
2017-01-31,-1.479461348227494,2022,-2.2617361695542484,18138,-2.257900649352427
2017-02-28,-1.5781210486431922,2498,-2.018153638635532,14798,-1.9647850141579053
2017-03-31,-1.199139836877325,2832,-1.8600536570885973,15830,-1.922658690673692
2017-04-30,-1.4059251029376951,2345,-1.2810695718666985,16379,-1.3290516108359254
2017-05-31,-1.387270246863117,2956,-1.5095855409259298,19108,-1.5738681138031954
2017-06-30,-1.295947189492557,1968,-1.4297021728090873,17580,-1.4508754567327615
2017-07-31,-0.3673556618374746,1193,-0.7657751256230078,11403,-0.7037071264862926
2017-08-31,-1.0841840199335906,1746,-1.5430802959379493,13245,-1.493415357116688
2017-09-30,-0.5751078325093852,1960,-1.8355545028323896,12028,-1.943266285457997
2017-10-31,-0.8792575120530685,1313,-1.7094121246815193,10668,-1.8326013901028104
2017-11-30,-1.2164619785987318,1323,-1.5473795908351036,7042,-1.638004553430198
2017-12-31,-0.9796766059532488,891,-1.845704428469751,7095,-1.901893016084523
2018-01-31,-1.3288442034030008,986,-1.7185179044703305,8265,-1.7787086216803842
2018-02-28,-1.238475841715353,1088,-1.838546453485504,7450,-1.8625467800756448
2018-03-31,-1.211705956327897,1050,-1.6231560489297008,7779,-1.811664423925838
2018-04-30,-1.6315682136123968,1049,-1.7074458213434949,7280,-1.7501631430469202
2018-05-31,-1.3548570079328284,1418,-1.5245740208582943,8202,-1.5533772059631603
2018-06-30,-0.8747849975438355,1206,-1.816116925876205,8310,-1.9830022754572565
2018-07-31,-0.7518381767802201,962,-1.7314016572030873,7960,-1.8289183820191528
2018-08-31,-1.4253399212312452,1221,-1.771594692413259,7803,-1.7548424723584706
2018-09-30,-0.8389638453568308,1280,-1.9153369377304976,10355,-1.9274308850247888
2018-10-31,-1.4692014833398497,1810,-2.018393626999357,10404,-2.2868531785989226
2018-11-30,-1.3088586330337624,1038,-2.1182388312405744,9323,-2.3247083205274373
2018-12-31,-1.361327016181404,631,-1.982846336840833,4414,-2.112119140924089
2019-01-31,-0.5990664539910474,625,-2.089547857351128,4702,-2.198494226622757
2019-02-28,-1.476596496061227,779,-2.50337294103562,4532,-2.608311944045033
2019-03-31,-1.7852664476100917,890,-2.362350227238636,4481,-2.4772876870081
2019-04-30,-1.5638482417593536,1136,-2.444117952767648,4646,-2.579325138098873
2019-05-31,-1.0726356515620123,1136,-2.0841600582200424,4543,-2.156750956657859
2019-06-30,-1.6446049214408864,655,-2.041102459328564,4229,-2.2233026866993977
2019-07-31,-1.0414121972717296,898,-2.002458492576714,4366,-2.169568498289644
2019-08-31,-1.5142186609812556,709,-2.2772163371414003,4689,-2.413515081395703
2019-09-30,-1.856002187688151,708,-2.1431660462042754,3694,-2.626711381309803
2019-10-31,-1.3281558984651771,834,-2.0437951839328705,5141,-2.3032353465052067
2019-11-30,-1.540446529063407,709,-2.447521429874313,5214,-2.714432501904656
2019-12-31,-1.511923819386107,570,-2.221769850094848,6194,-2.269039876661389
2020-01-31,-1.926780237738329,570,-2.409296360164749,8042,-2.515373201699699
2020-02-29,-0.9852310792469884,657,-2.5254113244162943,6865,-2.6347292862673104
2020-03-31,-1.6854872640453418,2804,-2.157990444096596,17475,-2.1869290242405977
2020-04-30,-2.0074455424835147,2778,-2.028878339455023,16015,-2.092965821465995
2020-05-31,-1.944380638545533,3577,-1.836018944772845,10692,-1.9210504284794343
2020-06-30,-1.9682312447172792,2061,-2.159787358124277,5854,-2.32650769988156
2020-07-31,-1.831429000336816,2098,-2.3522798010558787,8439,-2.4704884171505115
2020-08-31,-1.96817551126886,1808,-2.4419454186659566,8056,-2.6062732312792543
2020-09-30,-2.089152961102252,1669,-2.1663457372283026,6212,-2.156744457567893
2020-10-31,-1.2884448455434576,990,-1.682277405560914,2697,-1.7090562437517407
2020-11-30,-1.7303532585048549,583,-1.9390128947584568,2971,-1.9663432094209312
2020-12-31,-1.7245746236114374,849,-1.82525837951564,5448,-1.9462930340538325
2021-01-31,-1.640107760015045,540,-1.8035370201848229,4804,-1.7755345216127525
2021-02-28,-1.4580957714892369,650,-1.8134262955336533,4703,-1.9006850719190245
2021-03-31,-1.2344030031490774,731,-1.843613640035395,5472,-1.894384385472224
2021-04-30,-1.229706571732892,548,-1.809947040578107,4592,-1.846050648962076
2021-05-31,-1.0818907477163011,502,-1.9010977265840496,3534,-2.011641927851174
2021-06-30,-0.6819532525371065,2,-1.2238697830564151,15,-1.542699111898612
2015-03-31,-1.389432729595025,226,-1.8602855410241848,181,
2015-04-30,-0.7903369246355113,196,-1.291540101431107,184,
2015-05-31,-1.6547746608150349,157,-1.220285878579446,198,
2015-06-30,-1.1379866121564053,165,-2.0747652979124176,175,
2015-07-31,-1.9494126633535087,32,-2.276584224588336,113,-2.2702896514318107
2015-08-31,-1.6620565636784628,22,-2.506292895976032,101,-2.615589190640659
2015-09-30,-0.2051944378071109,15,-1.3222139338939354,133,-1.3956017974543848
2015-10-31,-1.1532569146448135,81,-1.999417703765142,420,-2.1941073129604245
